fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,color,index,taste
6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,0,1881,1
8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,0,2590,1
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,0,4348,1
8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,0,3193,1
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,0,5018,1
5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,0,6446,1
6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4,0,6367,1
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,0,5194,1
7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,1,1113,1
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,0,2867,1
5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,0,1872,0
6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,0,5777,1
7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,0,2811,0
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,1,233,1
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,1,389,1
6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,0,3871,1
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,1,213,1
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,0,5040,0
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,1,814,0
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,0,3652,0
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,0,5390,0
5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,0,5806,1
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,1,959,1
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,1,770,0
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,1,5,0
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,1,286,0
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,1,604,1
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,1,951,1
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,1,980,0
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,0,2212,0
7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,0,3311,0
7.1,0.39,0.3,9.9,0.037,29,124,0.99414,3.07,0.42,10.9,0,6195,1
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,0,4615,1
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,0,3028,1
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,0,2366,0
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,0,1829,0
7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,0,3058,1
6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,0,4601,1
6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,0,2663,0
6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,0,5775,1
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,1,49,0
6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,0,6429,1
8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,0,4581,1
7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,0,3255,0
6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,0,3260,1
11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,1,744,0
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,1,334,0
6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,0,4119,0
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,1,1168,1
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,0,6170,1
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,1,1070,0
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,0,4307,0
7.3,0.26,0.3,9.3,0.05,35,154,0.99581,3.21,0.5,10.4,0,4437,1
7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,0,4628,1
6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,0,2597,1
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,0,2556,0
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,0,5345,1
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,1,583,0
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,0,3705,0
8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,0,5314,0
7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,0,2734,0
6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,1,1391,1
8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,1,1484,0
6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.33333333,0,5977,1
6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,0,4576,1
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,1,300,0
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,0,4869,0
7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,0,2507,1
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,1,1135,1
6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,0,4499,0
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,0,2047,1
6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9,0,2221,0
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,1,982,0
7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,0,2779,0
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,1,1384,0
8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,0,3310,0
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,0,1889,1
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,1,162,0
6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,0,6015,0
7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,0,5159,0
6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,0,1966,1
7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,0,4537,0
6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,0,5988,1
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,0,1816,0
6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,0,4101,0
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,1,132,0
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,0,4837,1
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,0,1900,1
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,1,274,0
8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10,0,5052,0
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,0,5925,0
6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,0,6076,1
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,0,1990,1
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,1,1120,0
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,1,57,0
6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,0,5929,0
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,1,1381,1
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,0,2807,0
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,0,1806,0
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,0,3527,0
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,0,2075,0
7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5,0,4969,1
7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,0,3813,1
6.8,0.37,0.67,1.5,0.175,16,98,0.99244,3.06,0.56,10.3,0,5572,1
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,0,5437,1
8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,0,2591,0
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,0,5060,1
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,1,1249,1
7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,0,4975,1
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,1,1417,0
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,0,1810,0
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,1,1207,1
6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,0,4783,1
10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,1,1437,0
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,0,4904,1
6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1,0,4877,1
6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,0,5348,0
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,0,5218,1
6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,0,4848,1
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,0,6269,0
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,0,2803,1
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,0,1705,1
5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,0,5957,1
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,0,4711,1
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,0,4529,1
5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,0,5548,0
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,0,1704,0
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,0,4385,0
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,0,5585,1
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,1,1460,1
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,1,313,1
6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,0,2502,0
7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,0,3557,1
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,0,4757,1
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,0,5125,1
6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,0,6007,1
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,0,3864,1
7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,0,2147,1
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,0,4146,0
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,1,1198,1
7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,1,1400,1
9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,1,1361,0
6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,0,3571,1
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,0,2045,0
6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,0,4190,1
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,0,1658,1
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,1,1347,0
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,1,482,1
6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,0,5363,0
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,1,215,1
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,1,1560,0
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,0,1741,0
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,1,920,1
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,0,1779,1
6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,0,4086,0
6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,0,5502,1
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,1,60,1
7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,0,2729,1
6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,0,6292,0
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,0,5642,1
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,0,5998,0
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,0,5491,0
7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,0,2713,0
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,0,2700,1
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,0,3057,1
6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,0,2906,1
6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,0,5469,1
8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,1,1369,1
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,0,4694,1
7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,1,1376,0
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,0,6006,1
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,0,4559,1
7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,0,3115,1
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,0,1979,1
7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,0,4423,1
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,0,2308,1
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,0,1953,1
7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6,0,5710,0
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,0,2272,1
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,0,3930,1
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,0,2238,0
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,1,970,0
5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,0,3015,0
6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,0,5244,1
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,0,4077,1
7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,0,2784,1
7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,0,2163,1
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,0,2710,1
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,0,5770,1
9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,0,2746,0
6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,0,6255,1
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,1,957,1
6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,0,2259,0
8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,1,1015,1
6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,0,5066,1
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,0,2336,1
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,1,742,0
7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,0,3753,1
6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,0,5754,0
6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9,0,6231,1
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,1,1192,0
6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,0,2571,1
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,0,1828,1
7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,0,4960,1
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,1,1407,1
6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,0,3068,0
8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,0,3117,1
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,0,5486,1
6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,0,4733,1
4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,0,3921,0
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,0,4108,1
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,0,2793,1
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,0,2451,0
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,1,9,1
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,1,459,1
7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,1,1023,0
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,0,5134,0
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,0,2376,1
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,0,5558,1
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,0,3157,1
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,0,4976,1
6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,0,5271,1
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,0,4371,1
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,0,1651,1
8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,0,3347,1
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,0,5944,1
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,0,6111,1
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,1,427,1
6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,0,5325,1
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,0,4937,1
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,0,5039,0
6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,0,2719,0
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,0,2019,1
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,0,3631,0
5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,0,6125,1
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,1,486,0
7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,0,4484,1
7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,0,2967,0
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,1,1109,0
7.2,0.21,0.31,10.5,0.035,36,122,0.99478,3.12,0.4,10.6,0,6328,1
6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,0,6354,1
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,1,326,1
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,0,5431,0
6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,0,5492,0
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,1,408,1
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,1,439,1
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,0,2328,0
7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,0,5288,1
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,1,574,0
6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,0,5009,0
8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,0,2930,0
7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,1,1034,1
8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,0,4085,1
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,0,1978,1
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,0,3716,0
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,0,1724,1
5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,0,4354,0
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,0,5902,1
6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,0,2243,0
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,0,4387,0
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,0,2858,1
6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,0,3384,1
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,1,406,1
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,0,4677,0
7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,0,4852,1
6.5,0.15,0.32,1.3,0.036,19,76,0.98964,3.18,0.41,12.3,0,4463,1
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,0,6290,1
7,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,0,4842,1
7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,0,6164,1
9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,0,4907,0
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,0,4278,0
4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,0,6483,1
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,1,445,1
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,0,5172,1
6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,0,4863,1
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,0,2756,1
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,1,1595,0
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,0,4547,1
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,1,82,0
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,0,4365,1
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,0,1821,1
6,0.26,0.15,1.3,0.06,51,154,0.99354,3.14,0.51,8.7,0,4361,0
11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,1,619,0
7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,0,2186,1
5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,0,5504,1
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,0,5024,1
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,0,3102,0
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,0,3619,1
8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,0,2929,0
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,1,972,1
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,0,2170,0
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,1,41,0
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,1,1039,1
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,1,1290,0
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,0,3492,0
